"question_content";"question_content_image";"answer_content";"answer_content_image";"box_number";"last_reviewed"
"Quelles sont les règles pour le choix des luminaires face aux influences externes (eau/humidité) et quelles mesures constructives doivent être prévues pour éviter l'accumulation d'eau de condensation à l'intérieur des enveloppes ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_06_01_07_13_35_1780290815_Q.jpg";"NIBT 5.2.2.3.1, les enveloppes doivent satisfaire au degré de protection IP requis à l'emplacement correspondant pour éviter les dommages causés par la pénétration de l'eau. Un luminaire exposé à la pluie ou à des projections doit présenter un degré minimal de IP X3 ou IP X4. NIBT 5.5.9.3 impose que les luminaires soient choisis et établis selon les indications du fabricant. Un luminaire dont le globe se remplit d'eau n'est manifestement pas utilisé ou maintenu conformément à sa destination.";"";"1";"2026-06-01 07:17:32"
"Pourquoi l'utilisation du conducteur vert-jaune comme conducteur de phase sur cet interrupteur constitue-t-elle une infraction majeure, et quelles sont les deux règles fondamentales concernant le sectionnement et l'identification du PE qui ne sont pas respectées ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_06_01_07_08_15_1780290495_Q.jpg";"NIBT 5.1.4.3.2 Identification exclusive du conducteur de protection par la couleur vert-jaune. NIBT 4.6.1.2.2 Interdiction de placer un dispositif de coupure dans le conducteur de protection. NIBT 4.1.1.3 Exigence de présence d'un conducteur PE dans chaque circuit. NIBT 1.3.4.1 Obligation d'une exécution professionnelle par du personnel qualifié. NIBT 6.1.3.2 Échec garanti de l'essai de continuité du PE lors de la vérification initiale.";"";"1";"2026-06-01 07:08:24"
"En analysant l'état de cette fiche CEE, quelles sont les trois erreurs majeures des règles de sécurité de la NIBT concernant l'intégrité des enveloppes, le maintien mécanique des câbles et l'identification des conducteurs ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_23_24_32_1780262672_Q.jpg";"NIBT 4.1.A.2 Les enveloppes et barrières doivent empêcher tout contact fortuit avec les parties actives. Une fiche brisée ne garantit plus le degré de protection minimal requis (au moins IP 2X ou IP XXB). NIBT 5.2.6.3.2 les canalisations mobiles doivent être connectées de sorte que les forces de traction et de torsion ne puissent pas se transmettre aux bornes de raccordement électriques. L'image montre un fil jaune NIBT 5.1.4.3.5 interdit formellement l'utilisation du vert ou du jaune seuls pour l'identification des âmes des conducteurs.";"";"1";"2026-05-31 23:24:42"
"Au vu de l'accumulation d'humidité et du dépôt visqueux à l'intérieur de ce boîtier, quelles sont les exigences de la NIBT concernant le choix du matériel en fonction des influences externes (eau et humidité) et quelles mesures de précaution doivent être prises pour évacuer l'eau de condensation ? ";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_22_19_53_1780258793_Q.jpg";"NIBT 1.3.3.3, les matériels électriques doivent être choisis de manière à supporter en toute sécurité les contraintes et les conditions ambiantes. NIBT 5.2.2.3 : Présence d'eau (AD) ou d'une forte humidité (AB). NIBT 5.2.2.3.1 Les canalisations et enveloppes doivent satisfaire au degré de protection IP requis à l'emplacement correspondant pour éviter tout dommage causé par la pénétration de l'eau. NIBT 5.2.2.3.2 Si de l'eau peut condenser ou s'accumuler à l'intérieur des canalisations ou des boîtiers, des précautions doivent être prises pour évacuer cette eau (par exemple, par des trous de drainage appropriés si le degré IP le permet).";"";"1";"2026-05-31 22:19:59"
"Quelles sont les erreurs critiques d'identification des conducteurs observées sur le raccordement de ce socle de prise CEE 400[V], et quels sont les risques majeurs d'une telle exécution ? ";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_21_41_45_1780256505_Q.jpeg";"Le conducteur bleu (strictement réservé au Neutre) est raccordé sur la borne L1. Un conducteur blanc (couleur non standard pour une phase) est raccordé sur la borne L2. Le conducteur noir est raccordé sur la borne L3 (au lieu de L2). Le conducteur brun (généralement L1) est raccordé sur la borne N. NIBT 5.1.4.3.1 Obligation de marquer les conducteurs de neutre en bleu sur toute leur longueur. NIBT 5.1.4.3 Tableau des couleurs standards (L1=Brun, L2=Noir, L3=Gris, N=Bleu, PE=Vert-jaune). NIBT 5.1.4.3.5 Interdiction formelle d'utiliser le vert ou le jaune pour d'autres âmes que le PE. NIBT 5.1.1.3 Règle du raccordement des prises triphasées pour le sens de rotation (sens horaire). NIBT 6.1.2 Nécessité de vérifier par examen visuel l'identification correcte des conducteurs avant la mise en service.";"";"1";"2026-05-31 21:41:55"
"Au vu de cette invasion d'insectes dans une enveloppe électrique, quelles sont les exigences de la NIBT concernant la protection contre les influences externes (faune) et quel degré de protection IP minimal aurait dû être respecté pour garantir la sécurité de cette installation ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_21_27_58_1780255678_Q.jpeg";"NIBT 5.2.2.10, lorsque la présence d'animaux ou d'insectes peut constituer un danger ou provoquer des dégâts, les installations doivent être conçues avec des mesures de protection appropriées (boîtiers étanches, bourrage des espaces creux). NIBT 5.2.2.4 Protection contre les corps étrangers solides (AE) et choix du degré IP, un degré IP 5X (protégé contre la poussière et les intrusions fines) est fortement recommandé dans de tels environnements pour empêcher l'entrée des insectes. NIBT 5.1.2 Définition des degrés de protection par enveloppe (Code IP). NIBT 4.2.1 Protection contre les incendies et effets thermiques.";"";"1";"2026-05-31 21:31:03"
"Selon les règles de la NIBT, quel est le mode de raccordement obligatoire pour le côté alimentation d'un socle de fusible à vis, et quelles sont les exigences de protection contre les contacts (degré IP) qui sont ici manifestement fausses ? ";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_21_01_49_1780254109_Q.jpeg";"NIBT 5.3.3.2 Les éléments fusibles à vis doivent être raccordés de sorte que le contact inférieur soit branché côté alimentation. L'absence de bouchon sur le socle central laisse des parties actives à nu. Dans un ensemble d'appareillage, même ouvert, une protection minimale est requise. Pour les tableaux destinés à être utilisés par des personnes ordinaires (DBO), le degré de protection minimal de la face avant (après pose du plastron) doit être IP 2XC. NIBT 4.1.A.2 Les barrières ou enveloppes sont destinées à empêcher tout contact fortuit avec les parties actives";"";"1";"2026-05-31 21:01:57"
"En présence d'un tel échauffement des contacts, quelles sont les exigences fondamentales de la NIBT concernant l'exécution des connexions et la protection contre les effets thermiques qui ne sont pas respectées ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_20_14_42_1780251282_Q.jpeg";"NIBT 1.3.4.1 Qualité des connexions pour des contacts sûrs. NIBT 4.2.1 Protection contre les incendies provoqués par des matériels électriques. NIBT 5.2.6.1 Exigences générales sur les connexions électriques. NIBT 1.3.1.1 Risques liés aux températures trop élevées et aux incendies. NIBT 6.1.2 Nécessité de l'examen visuel pour détecter les dégradations thermiques";"";"1";"2026-05-31 20:14:50"
"Pour un tableau de répartition destiné à être utilisé par des personnes ordinaires (DBO), quel degré de protection IP minimal doit être assuré sur la face avant après remontage du plastron ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_18_50_43_1780246243_Q.jpeg";"NIBT 5.2.1 Protection principale et exigence du degré IP 2XC pour les DBO. Le code IP 2X garantit qu'un doigt d'épreuve ne peut pas toucher de parties dangereuses, et la lettre supplémentaire C précise qu'un outil de 2,5[mm] de diamètre ne doit pas pouvoir atteindre ces parties.";"";"1";"2026-05-31 18:51:58"
"Soit une fiche CEE 16 A 5 pôles (rouge). Quels sont les trois défauts majeurs de montage et de sécurité selon la NIBT qui rendent cette installation non conforme et dangereuse ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_18_39_56_1780245596_Q.jpg";"Une fiche rouge CEE est destinée à un système triphasé 400[V]. L'utiliser pour un raccordement monophasé 230[V] en pontant les trois phases (L1, L2, L3) est une exécution non professionnelle. NIBT 1.3.3.2.1 : Les matériels électriques doivent être adaptés à la valeur maximale de la tension. NIBT 5.1.1.2.2 : Choix des dispositifs conjoncteurs selon la tension et le nombre de pôles. NIBT 5.2.6.3.2 : Les canalisations mobiles doivent être connectées de sorte que les forces de traction et de torsion ne puissent pas se transmettre aux bornes. Raccordement dangereux (Pontage des phases) Le pontage des bornes L1, L2 et L3 sur une fiche mâle est extrêmement dangereux. Si cette fiche est insérée dans une prise triphasée standard, cela provoquerait un court-circuit entre phases immédiat. NIBT 5.1.1.3 : Règle du cycle des phases (sens des aiguilles d'une montre) qui ne peut être respectée ici. NIBT 1.3.4.1 : Exigence d'une exécution professionnelle effectuée par du personnel qualifié";"";"1";"2026-05-31 18:40:08"
"Lors de la vérification d'un appareil de cuisson dont le conducteur de protection (PE) semble déconnecté, quelle est la procédure de mesure illustrée ici et pourquoi la présence d'une tension de 234 [V] sur l'enveloppe métallique constitue-t-elle une violation grave des règles de sécurité ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_11_11_09_1780218669_Q.jpeg";"NIBT 4.1.1.3, un conducteur de protection mis à la terre doit être présent dans chaque circuit pour assurer la protection en cas de défaut (contact indirect). Ici, la mesure de 234 [V] indique que le châssis est sous tension par rapport à la terre. En l'absence de PE, le dispositif de protection en amont ne peut pas détecter le courant de défaut et couper l'alimentation. Une personne touchant cette carcasse subirait un courant de contact dangereux, la résistance du corps humain étant d'environ 1000 Ohms. NIBT 6.1.3.2 impose de vérifier la continuité des conducteurs de protection et des liaisons équipotentielles pour garantir que la résistance est suffisamment faible pour permettre le déclenchement des protections.";"";"1";"2026-05-31 12:59:50"
"La réparation d'une fiche mobile (Type 12/13) à l'aide de ruban adhésif jaune pour renforcer ou isoler la gaine à l'entrée de la fiche est-elle conforme aux prescriptions de la NIBT pour le matériel mobile ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_12_36_38_1780223798_Q.jpeg";"NIBT 5.2.1.8.2 Les canalisations mobiles doivent posséder une gaine de protection non conductrice correspondant à la sollicitation. Le ruban adhésif n'est pas un substitut acceptable à une gaine isolante continue et homologuée. NIBT 5.2.6.3.2, les canalisations mobiles doivent être raccordées de sorte que les forces de traction et de torsion ne soient pas transmises aux bornes. NIBT 5.3.10.4 autorise l'utilisation de fiches à contact de protection (Type 12) vissées pour la réparation de câbles. Cependant, bricoler une fiche existante avec du ruban adhésif est interdit, car cela ne garantit ni l'isolement durable ni la résistance mécanique requise.";"";"1";"2026-05-31 12:38:47"
"Une boîte de dérivation installée en extérieur sur une surface métallique et dont le couvercle est manquant respecte-t-elle les exigences de la NIBT concernant les influences externes et le degré de protection IP ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_05_31_12_35_18_1780223718_Q.jpeg";"NIBT 5.2.2.3 (AD), les canalisations et leurs connexions ne doivent subir aucun dommage dû à la pénétration de l'eau. Pour un emplacement exposé à la pluie, un degré de protection minimal IPX4 (projections d'eau) est requis. NIBT 4.1.1.2.1 stipule que les parties actives doivent se trouver à l'intérieur d'enveloppes possédant au moins un degré de protection IP2X ou IPXXB. L'absence de couvercle rend les parties sous tension accessibles par inadvertance. NIBT 5.1.1.1 exige que le matériel soit choisi de manière à garantir l'efficacité des mesures de protection contre les influences externes.";"";"1";"2026-05-31 12:35:56"
"Si un client nostalgique vous demande de transformer ce portail vers le passé en une prise de type T13 moderne, quelles barrières techniques et normatives la NIBT dresse-t-elle pour empêcher cette installation de finir en feu d'artifice imprévu ?";"images_questions/NIBTELECTRO_DEFAUTS/2026_06_01_18_54_40_1780332880_Q.jpg";"La prise de la photo actuelle appartient au monde du courant faible (prise de téléphone à 4 trous), conçue pour des signaux de données et des tensions très petites. La prise T13, elle, appartient au monde brutal du courant fort (NIBT 2.2.1.57), capable de vous envoyer au tapis (U supérieur à 50 [V] AC). Mélanger les deux, c'est ignorer la frontière fondamentale de la sécurité électrique. NIBT 5.2.8.2 Les circuits de télécommunication et les circuits de courant fort doivent rester strictement séparés pour éviter les influences électriques mutuelles. Conclusion : Si vous tentez ce raccordement, le seul (appel téléphonique) que vous passerez avec cette prise sera au 118 (les pompiers). Pour installer une prise T13, il faut tout refaire, changer les fils, le tube, et s'assurer d'avoir un conducteur de protection (PE) vert-jaune, accessoire totalement absent de votre relique des années 80.";"";"1";"2026-06-01 19:06:05"
